#{"t_start": 1652188045.377205, "env_id": null}
r,l,t
-0.048624,4,12.928067
-0.834343,3,12.955992
-1.238057,2,12.973944
0.628693,3,12.991595
-0.556894,4,13.022838
-0.125759,3,13.054081
-1.281797,2,13.069702
-0.929624,3,13.100945
-1.084398,2,13.116566
-1.080957,2,13.132188
0.722763,4,13.16343
-0.955807,2,13.179052
0.048292,4,13.225915
-0.785545,2,13.241537
-1.511791,3,13.272779
-0.65177,3,13.304023
-0.109675,3,13.319644
-1.027153,2,13.335265
1.045556,4,13.366507
-0.220814,3,13.39775
-0.073823,3,13.428993
0.343505,4,13.460235
0.658851,4,13.491478
0.463763,3,13.522722
-0.327075,4,13.558465
0.119141,4,13.589441
0.513858,4,13.620683
0.750305,4,13.651926
0.780339,4,13.683169
0.055956,3,13.714411
0.149155,4,13.75422
0.008759,4,13.785463
-0.373858,2,13.801084
-0.0554,3,13.816705
-0.155773,3,13.847948
-0.837719,2,13.863569
-0.864414,3,13.894813
0.025283,4,13.926055
-0.024371,4,13.972919
-0.056684,3,13.98854
1.462754,4,14.035404
0.639,4,14.066647
-1.017225,2,14.082268
-1.267914,4,14.129132
-1.012971,3,14.158835
-0.363253,2,14.174793
0.671112,4,14.195801
0.37985,3,14.227044
1.939699,4,14.258287
0.492104,4,14.289529
-0.366339,3,14.320772
-0.745683,3,14.352015
-0.302105,2,14.367636
-0.144246,3,14.383257
2.010451,4,14.430122
-0.26003,3,14.445743
0.49499,4,14.476985
-0.779253,2,14.492606
0.185291,3,14.523849
-0.451284,3,14.53947
0.46847,4,14.586334
-0.733485,2,14.601956
-0.042467,3,14.617577
-0.599735,2,14.633198
0.42152,4,14.664441
0.098395,3,14.695684
0.418922,4,14.726926
-0.773908,2,14.742555
0.227834,3,14.775393
0.447439,4,14.809369
-1.027171,3,14.82499
0.07828,4,14.871855
-0.065607,3,14.887476
0.368526,4,14.93434
-0.431232,2,14.949961
0.512866,4,14.981204
-0.903231,2,14.996825
-0.794638,2,15.012447
2.222003,4,15.043689
0.127145,4,15.074932
-0.088726,4,15.121795
-0.578555,3,15.137417
-0.853021,4,15.184281
0.118693,4,15.215524
-0.460264,2,15.231146
-0.057458,3,15.262388
0.590944,4,15.29363
-0.194114,3,15.309251
-0.24361,3,15.340494
0.154346,3,15.356116
-0.342773,4,15.412799
-0.005339,4,15.438429
0.209868,4,15.485293
0.272806,4,15.516536
-0.415224,3,15.532157
-0.562811,3,15.5634
-0.247442,3,15.594643
0.499165,4,15.625885
-0.561174,2,15.641508
-0.86196,2,15.657128
-0.448539,2,15.67275
0.080814,3,15.703993
-0.998019,2,15.719614
-0.015461,4,15.750856
0.646273,4,15.782099
-1.179968,2,15.79772
-0.294905,3,15.828963
-0.816295,3,15.860218
-0.212935,3,15.891448
-0.766973,3,15.922691
0.09628,3,15.953933
2.402559,4,15.987307
0.164032,4,16.022245
0.958967,4,16.051848
-0.909769,2,16.06747
-0.444756,2,16.083091
-0.078419,3,16.098713
-0.665375,2,16.114334
-0.001863,3,16.145576
2.464609,4,16.176819
0.319136,4,16.208062
-0.390042,2,16.223683
0.026457,4,16.254926
0.945304,4,16.30179
-0.891467,2,16.317411
-0.113527,3,16.348653
-0.849568,3,16.364275
-1.252772,2,16.379896
-0.322569,3,16.411139
-0.468161,2,16.42676
0.359998,4,16.458003
-0.193523,4,16.489246
-0.174459,4,16.53611
-0.711804,3,16.551731
-0.898369,2,16.567352
-1.088208,2,16.598722
0.828871,4,16.629669
-0.706038,2,16.645627
0.037687,3,16.665257
1.155955,4,16.6965
-0.895637,2,16.712121
0.303456,4,16.743363
-0.271038,3,16.774606
-0.478625,3,16.805849
-0.14248,3,16.82147
-0.460094,2,16.837092
1.478799,4,16.883955
-0.925347,3,16.915198
-0.810344,2,16.93082
0.211634,3,16.962062
-0.301541,3,16.977683
1.194584,4,17.025615
-1.217754,2,17.043567
-0.451805,2,17.044695
-0.222229,4,17.091558
0.960219,4,17.122802
-1.237857,2,17.138423
0.168186,3,17.154044
-0.964005,2,17.169665
-0.002923,4,17.221008
-0.442732,2,17.235006
0.093374,4,17.267603
-0.566081,2,17.283224
0.210342,4,17.314467
1.658388,4,17.34571
-1.266669,2,17.376953
-0.744685,2,17.392574
0.317931,3,17.408195
1.576964,4,17.455059
-0.256675,3,17.47068
-0.245036,2,17.486301
0.758636,4,17.517544
-0.503748,3,17.548787
-1.092458,2,17.564408
-0.015107,4,17.595651
0.132522,4,17.626894
-0.91065,2,17.658136
-0.312124,3,17.673758
-0.663893,3,17.705
-0.373251,4,17.736243
-0.792771,3,17.767485
-0.185365,2,17.783107
1.4368,4,17.826458
-0.387207,2,17.841417
-0.038201,4,17.86543
-0.512036,3,17.896673
0.078187,4,17.943537
-0.343685,3,17.974779
-0.58887,3,17.990401
-0.251193,3,18.021643
-0.128423,3,18.052886
0.308117,4,18.084129
2.286705,4,18.115371
0.091839,3,18.130992
-0.284885,3,18.162235
-0.336463,4,18.193478
0.04832,4,18.22472
-0.238281,3,18.255963
-0.637816,2,18.271584
-0.819107,2,18.287206
-0.623507,2,18.302827
0.190177,3,18.334069
0.119747,4,18.365312
-0.038878,4,18.412176
-0.294353,3,18.436905
0.999349,4,18.46686
-0.22503,4,18.49447
-0.203734,3,18.525853
1.914586,4,18.556956
-1.274278,2,18.572578
-0.38266,2,18.588199
-0.163076,4,18.635063
-0.724651,3,18.666305
-0.803292,3,18.697547
-1.140571,2,18.713169
-0.557664,3,18.744411
-0.941892,2,18.760033
0.806498,4,18.791275
-0.524037,3,18.822518
0.228978,3,18.83814
0.761566,4,18.869382
-0.28595,2,18.885004
-0.621461,3,18.916246
-0.07327,3,18.947489
-0.339836,2,18.96311
-0.308232,2,18.978731
0.112012,3,18.994353
0.619325,4,19.025595
-0.865293,2,19.054356
0.481275,4,19.090261
-1.03263,2,19.092294
-0.131028,4,19.139158
-1.051145,2,19.154779
-0.745423,2,19.170401
-1.388258,3,19.201643
0.699844,4,19.232886
-0.691256,3,19.264129
0.316548,3,19.27975
1.201093,4,19.310992
0.027778,4,19.342236
-0.372514,3,19.373478
-0.744893,2,19.3891
-0.544296,3,19.420343
-0.288641,4,19.451585
0.071473,4,19.498449
-0.396903,4,19.529691
0.420075,4,19.560934
-0.94555,3,19.592176
-0.922592,2,19.607798
0.231499,4,19.655831
-0.503886,2,19.669793
-0.153031,3,19.696765
-0.593049,2,19.705776
0.049801,3,19.721397
-0.842082,2,19.75264
0.03491,4,19.783883
-0.06044,3,19.799504
-0.952784,2,19.815125
-0.901047,3,19.846368
0.024907,3,19.87761
-0.273375,4,19.924475
-0.976842,2,19.940096
-0.876608,2,19.955717
1.734562,4,19.98696
0.045049,4,20.033823
1.131246,4,20.065066
-1.16877,3,20.096309
-0.193277,3,20.127551
-0.138022,3,20.143172
-0.450065,2,20.158794
-0.004828,4,20.205658
-1.187256,2,20.221279
0.521178,3,20.236901
-0.463229,2,20.252522
0.206139,4,20.298271
-0.121714,3,20.31924
-0.216845,3,20.33486
0.124517,3,20.366103
-0.487178,3,20.397346
-0.174796,3,20.412967
-0.932786,2,20.428589
-0.67057,3,20.459831
-0.788002,2,20.475453
-0.434459,3,20.506696
0.040856,3,20.522317
0.05993,3,20.553559
-0.724325,2,20.569181
0.312518,4,20.600424
-0.498489,2,20.616045
0.598407,4,20.647287
-0.857899,2,20.662909
0.770602,4,20.694151
1.120006,4,20.741015
-0.631077,3,20.756637
2.361899,4,20.803501
-0.279796,2,20.819123
2.062457,4,20.850364
-0.633845,3,20.886741
-0.580062,3,20.91371
-0.083971,3,20.93269
-0.426151,3,20.963933
-0.301539,3,20.979554
0.382411,3,21.010796
0.071447,4,21.04204
-0.099301,4,21.073282
0.708064,4,21.120146
0.417465,4,21.151388
-0.277982,3,21.182631
-0.931287,2,21.198252
-1.125678,2,21.213873
-0.680317,4,21.245116
-1.019587,3,21.276359
-0.970454,2,21.29198
-0.133942,4,21.338844
0.289331,4,21.385708
0.236539,4,21.416951
-0.041629,4,21.448194
0.388633,3,21.463815
-0.303761,3,21.502255
-1.386578,2,21.521204
-1.12678,2,21.538194
0.086229,4,21.577438
-0.756536,2,21.593058
0.924773,4,21.624301
-0.215697,3,21.639923
-0.183122,4,21.686787
-0.242933,3,21.702408
0.517987,4,21.737881
-0.893408,2,21.753502
-1.197496,2,21.769124
0.768048,4,21.815988
-0.295528,3,21.831609
-0.34826,4,21.878473
0.194989,3,21.909716
-0.627103,3,21.925337
1.573883,4,21.97221
-0.324618,3,21.987823
-0.486651,4,22.034686
-0.865109,2,22.050308
-0.414481,2,22.065929
-0.95106,2,22.08155
0.1958,4,22.122234
0.862382,4,22.148269
-0.754546,3,22.179511
-0.685873,2,22.195132
-0.461886,2,22.210754
-0.321808,3,22.234409
-0.221589,4,22.266159
0.076456,4,22.297401
0.930006,4,22.328644
-1.126978,2,22.344265
-0.204488,3,22.375508
-0.142729,2,22.39113
0.065831,4,22.437993
-0.730385,2,22.453614
-0.02343,4,22.484857
-0.530459,3,22.516099
-1.126866,2,22.531721
0.188241,4,22.562964
-0.1031,3,22.594206
-0.415684,3,22.609828
0.526413,4,22.656692
-0.279585,3,22.672313
-0.353435,2,22.687935
-0.435649,3,22.727749
-1.152406,2,22.7457
-0.334587,2,22.754703
-0.874036,2,22.770324
0.446858,4,22.801567
-0.624262,2,22.817188
-0.896324,2,22.832809
-0.750709,2,22.848431
0.789173,4,22.895295
0.779423,3,22.910917
-0.457587,3,22.942159
2.330298,4,22.973401
1.766953,4,23.004644
-0.640378,2,23.020265
-0.135604,3,23.051508
-0.998372,2,23.082751
-0.999432,3,23.113994
-0.523566,2,23.129614
1.856766,4,23.176479
-0.693123,3,23.207721
-0.058534,3,23.238964
-0.067896,4,23.270207
0.95892,4,23.301449
0.001018,4,23.346227
-0.849524,3,23.367246
-0.658868,3,23.398489
-0.823917,3,23.429731
1.038778,4,23.460974
1.982223,4,23.492216
-0.524224,3,23.523459
0.812679,4,23.554701
-0.471091,3,23.585944
-0.913404,2,23.601566
-0.002189,3,23.617188
-1.138803,2,23.632808
1.704118,4,23.679673
0.123093,3,23.695294
0.470666,4,23.757337
1.352787,4,23.787031
1.399007,4,25.412555
-0.154744,3,25.428176
0.521646,4,25.459419
0.440955,4,25.506283
-0.924202,3,25.537525
-0.335806,3,25.553146
-0.464324,3,25.584389
-0.789259,2,25.600011
-0.347317,2,25.615632
-0.103164,3,25.646874
-0.571963,2,25.662496
-0.906408,3,25.678117
-0.407098,4,25.728091
-0.180096,4,25.761025
-0.053744,4,25.807889
-0.581879,3,25.82351
-0.52773,3,25.854753
0.489976,4,25.901617
-1.216595,2,25.917239
0.743914,4,25.948481
-0.727989,2,25.964103
-1.009946,2,25.979724
-0.066399,3,26.010966
-0.702653,3,26.042209
-0.985014,2,26.057831
0.05201,4,26.089073
-0.38052,3,26.120315
0.666918,4,26.151558
-1.014293,2,26.167179
0.005414,3,26.198422
-0.710602,2,26.214043
-0.644637,3,26.229665
-1.292498,2,26.260907
-0.178543,4,26.29215
1.293813,4,26.323393
2.236834,4,26.35815
-0.128148,3,26.376373
-1.2071,3,26.407616
0.264355,4,26.438859
0.30311,4,26.470102
-0.639592,2,26.485723
0.274284,4,26.516965
-0.467319,2,26.532587
0.853752,4,26.56383
0.051343,4,26.610694
1.615355,4,26.641936
-0.262378,4,26.673179
0.038822,4,26.704422
-0.67309,3,26.735664
-0.729703,2,26.751286
-0.506185,3,26.782528
2.484033,4,26.829393
-0.24018,2,26.845014
0.500277,3,26.860635
0.163015,4,26.891878
-0.079717,4,26.923121
-0.127437,3,26.968497
-0.326558,3,26.993132
1.018952,4,27.024375
-0.974608,3,27.065055
0.35403,3,27.084758
-1.102918,2,27.10038
0.479356,4,27.131623
-0.453512,2,27.147243
-0.302529,3,27.162865
-0.410409,2,27.178486
