#{"t_start": 1640326699.8127866, "env_id": null}
r,l,t
-0.882739,25,18.691931
-0.383528,22,18.709954
1.162334,23,18.741196
-0.036176,28,18.772439
-0.739656,25,18.803681
-1.370488,23,18.834924
-1.17711,19,18.850545
-2.617168,21,18.881788
1.113799,21,18.897409
0.226446,24,18.934105
-2.870091,23,18.961033
-1.210144,21,18.972021
-1.722726,26,19.003264
-2.607827,20,19.034507
0.681598,24,19.065749
0.211405,22,19.081371
-2.983286,26,19.112613
-0.565651,28,19.143856
-0.420778,27,19.175099
0.234293,19,19.206341
-0.896899,22,19.221963
0.704659,23,19.263999
0.073071,23,19.291924
-0.229954,24,19.309947
-3.856426,30,19.34119
0.48278,24,19.372433
0.272471,24,19.403676
-0.752433,24,19.434918
-0.315043,25,19.46616
0.373167,22,19.481782
-3.840921,27,19.525063
0.08784,22,19.550994
0.166313,25,19.579324
-0.457429,26,19.611036
0.05994,22,19.637963
0.932071,22,19.663996
-0.797619,27,19.694313
1.619479,31,19.725557
-2.809334,24,19.756799
-0.73317,24,19.788042
1.233348,27,19.819284
-1.595443,21,19.834905
0.346005,23,19.866148
0.213138,24,19.897391
-0.181865,23,19.928633
0.508404,24,19.944255
0.615558,23,19.975497
-1.336792,22,20.00674
-0.930488,22,20.037982
-0.627253,21,20.053604
-0.605144,23,20.084846
-0.569665,30,20.116089
-3.147469,27,20.155812
0.04105,19,20.171434
-1.098488,27,20.218298
-0.790279,25,20.233919
0.702651,25,20.277941
-0.646585,24,20.294313
-0.003732,21,20.325556
-1.770911,27,20.419284
-2.090396,25,20.434905
1.301884,25,20.466147
-0.883022,18,20.49739
-0.511579,24,20.513011
0.860402,25,20.544254
0.22618,27,20.575497
1.392521,24,20.618019
1.749562,22,20.642953
-0.54509,26,20.67426
-0.120178,26,20.694307
-0.672122,22,20.72555
0.669699,27,20.762244
-1.368799,29,20.789283
1.264571,25,20.820525
-0.865127,25,20.851768
0.344876,18,20.867389
0.269829,27,20.898632
0.814939,23,20.929874
-2.124723,22,20.961117
1.20371,28,20.99236
0.798213,23,21.007981
-0.796774,22,21.039223
-2.553016,23,21.070466
0.16507,22,21.086087
0.638997,21,21.11733
0.050016,22,21.148572
-0.189411,26,21.179815
-1.768796,22,21.195437
-3.268129,25,21.226679
-2.222296,21,21.257922
0.463154,19,21.282916
-2.19415,24,21.309919
-1.887036,19,21.32554
-2.307832,27,21.364684
-3.345248,24,21.388741
-1.313797,27,21.419983
0.288639,22,21.451226
0.390167,23,21.466847
-0.118307,25,21.498091
-0.389596,26,21.529333
-0.483838,29,21.560575
0.989686,26,21.591818
0.300035,19,21.628953
1.067289,32,21.667259
-0.914206,26,21.694298
0.947853,21,21.709919
-0.182266,20,21.741162
-1.548646,26,21.772404
-2.584649,22,21.788026
0.164102,24,21.819268
-3.107074,20,21.85051
0.404621,22,21.866132
-3.102118,23,21.897375
-0.135081,23,21.928617
-3.075344,24,21.96136
0.723691,24,21.989059
-1.149755,23,22.00468
0.570231,22,22.787993
-0.684851,22,22.803616
0.358892,23,22.834857
0.183809,21,22.8661
1.14811,25,22.897343
0.913182,22,22.912964
-0.791498,28,22.944207
0.955565,26,22.975449
0.819045,21,23.006692
-0.398925,25,23.037935
0.326472,23,23.053555
-0.049385,22,23.084798
-1.836411,23,23.116041
1.206378,19,23.131663
0.164477,23,23.170054
-1.815284,21,23.195032
-2.658231,22,23.207071
0.004782,26,23.238314
0.611013,23,23.279898
-1.166395,25,23.309884
-0.33516,22,23.33551
-3.30769,23,23.351131
-0.881309,20,23.382374
-1.846079,22,23.397995
-2.349118,24,23.429238
-2.437842,31,23.476102
-2.204445,25,23.491723
-1.796348,23,23.522965
0.859365,25,23.554208
0.675422,23,23.585451
0.88504,21,23.615956
-1.963548,24,23.642885
0.181843,25,23.673222
-0.550731,19,23.69427
-1.806368,24,23.709891
-0.752482,23,23.741134
0.198137,26,23.779755
1.359787,21,23.80572
-2.364173,26,23.836962
0.714033,27,23.868205
-0.865216,26,23.899448
-1.809286,21,23.915069
0.352796,25,23.946312
0.641266,21,23.977555
-0.755399,36,24.008798
-0.294804,24,24.040039
1.224366,32,24.071282
-1.349519,30,24.118146
-2.453345,22,24.133768
-1.100198,31,24.180631
-1.14502,30,24.227495
1.631644,22,24.243117
-1.289365,25,24.287865
1.503399,22,24.309886
-2.548485,21,24.325507
0.35134,23,24.35675
-1.946352,21,24.390622
0.686755,21,24.414558
-0.216064,25,24.439186
-0.937296,20,24.454808
-0.262083,23,24.48605
1.569738,24,24.517293
0.586471,21,24.532914
-2.246262,25,24.564156
0.583146,22,24.595399
0.681476,22,24.628918
0.013192,28,24.662246
0.154949,31,24.694261
-0.081756,26,24.725503
0.30862,22,24.741125
0.26912,21,24.772367
-2.241508,30,24.80361
0.773855,26,24.834852
0.631111,24,24.881717
1.288588,26,24.91296
-0.700475,26,24.959823
0.217828,24,24.997526
0.065367,27,25.025616
0.133992,22,25.07248
-0.566785,25,25.103723
0.293284,21,25.134965
-2.296588,30,25.166207
-0.017994,20,25.181829
-0.446595,24,25.213072
0.842055,21,25.244314
-1.108985,19,25.271893
1.050724,28,25.29426
-0.933824,23,25.325503
-0.273568,24,25.356745
1.272277,22,25.387989
-2.349055,21,25.41923
-2.534615,27,25.466094
0.175241,20,25.497337
1.501122,20,25.52858
-1.419668,24,25.559823
1.103729,29,25.620243
0.597777,22,25.654278
-0.672386,25,25.69426
-3.651838,22,25.725502
-0.042257,22,25.756746
0.184468,22,25.787987
-1.310838,29,25.834852
-0.364501,27,25.881716
0.151444,21,25.944201
-0.266212,23,25.991065
-0.007339,25,26.022308
-1.942283,29,26.05355
0.968402,27,26.100414
-2.095427,27,26.131656
-3.155768,19,26.147278
-2.206219,32,26.195625
-0.649245,25,26.229621
0.117587,24,26.261927
-3.194706,23,26.288854
1.212423,23,26.309861
0.073483,23,26.341104
0.6895,29,26.372346
-1.98825,24,26.403589
0.551671,23,26.41921
0.699631,23,26.450453
0.014247,26,26.481695
-0.309506,26,26.512938
0.183427,24,26.54418
0.87462,25,26.575423
-2.441243,26,26.606666
0.167839,24,26.638865
-1.116488,24,26.667904
-0.58569,26,26.694243
0.347391,20,26.709865
-2.954505,24,26.741107
-0.627882,25,26.77235
-0.203044,21,26.805171
0.300129,32,26.837766
1.474259,26,26.869009
-2.528247,23,26.900251
-0.077983,22,26.915873
-0.662438,24,26.947115
-0.244282,20,26.978358
-0.09106,29,27.0096
0.184153,23,27.040844
-0.552527,21,27.056465
-0.113961,21,27.087707
0.08576,29,27.118949
0.079357,23,27.150192
1.261798,27,27.181435
-1.08776,25,27.212678
0.923216,22,27.228299
0.678015,27,27.272866
0.341169,27,27.294231
-0.176173,27,27.325474
-0.225384,23,27.419551
0.887068,26,27.439588
0.557438,28,27.470831
-1.222819,22,27.502074
-1.244993,25,27.533317
0.478876,22,27.564559
-3.96553,21,27.58018
1.359461,28,27.621901
0.296525,21,27.647244
